           k      D^2_lin
1.038520E-05 2.668323E-15
1.048960E-05 2.776137E-15
1.059500E-05 2.888254E-15
1.070150E-05 3.004944E-15
1.080900E-05 3.126268E-15
1.091770E-05 3.252632E-15
1.102740E-05 3.383990E-15
1.113820E-05 3.520651E-15
1.125020E-05 3.662943E-15
1.136320E-05 3.810817E-15
1.147740E-05 3.964751E-15
1.159280E-05 4.124976E-15
1.170930E-05 4.291588E-15
1.182700E-05 4.464974E-15
1.194580E-05 4.645237E-15
1.206590E-05 4.832947E-15
1.218720E-05 5.028230E-15
1.230960E-05 5.231203E-15
1.243340E-05 5.442665E-15
1.255830E-05 5.662415E-15
1.268450E-05 5.891122E-15
1.281200E-05 6.129126E-15
1.294080E-05 6.376782E-15
1.307080E-05 6.634255E-15
1.320220E-05 6.902317E-15
1.333490E-05 7.181167E-15
1.346890E-05 7.471207E-15
1.360430E-05 7.773083E-15
1.374100E-05 8.087013E-15
1.387910E-05 8.413686E-15
1.401860E-05 8.753585E-15
1.415950E-05 9.107209E-15
1.430180E-05 9.475076E-15
1.444550E-05 9.857722E-15
1.459070E-05 1.025598E-14
1.473730E-05 1.067015E-14
1.488540E-05 1.110113E-14
1.503500E-05 1.154943E-14
1.518610E-05 1.201595E-14
1.533880E-05 1.250158E-14
1.549290E-05 1.300638E-14
1.564860E-05 1.353175E-14
1.580590E-05 1.407846E-14
1.596470E-05 1.464696E-14
1.612520E-05 1.523882E-14
1.628730E-05 1.585453E-14
1.645090E-05 1.649461E-14
1.661630E-05 1.716117E-14
1.678330E-05 1.785440E-14
1.695190E-05 1.857530E-14
1.712230E-05 1.932577E-14
1.729440E-05 2.010651E-14
1.746820E-05 2.091865E-14
1.764380E-05 2.176385E-14
1.782110E-05 2.264288E-14
1.800020E-05 2.355750E-14
1.818110E-05 2.450907E-14
1.836380E-05 2.549897E-14
1.854840E-05 2.652922E-14
1.873480E-05 2.760077E-14
1.892310E-05 2.871577E-14
1.911330E-05 2.987585E-14
1.930540E-05 3.108272E-14
1.949940E-05 3.233815E-14
1.969540E-05 3.364462E-14
1.989330E-05 3.500338E-14
2.009320E-05 3.641711E-14
2.029520E-05 3.788860E-14
2.049910E-05 3.941856E-14
2.070520E-05 4.101149E-14
2.091320E-05 4.266739E-14
2.112340E-05 4.439108E-14
2.133570E-05 4.618429E-14
2.155020E-05 4.805053E-14
2.176670E-05 4.999075E-14
2.198550E-05 5.201049E-14
2.220650E-05 5.411183E-14
2.242960E-05 5.629687E-14
2.265510E-05 5.857176E-14
2.288270E-05 6.093681E-14
2.311270E-05 6.339860E-14
2.334500E-05 6.595971E-14
2.357960E-05 6.862388E-14
2.381660E-05 7.139616E-14
2.405600E-05 7.428065E-14
2.429770E-05 7.728034E-14
2.454190E-05 8.040210E-14
2.478860E-05 8.365057E-14
2.503770E-05 8.702919E-14
2.528930E-05 9.054327E-14
2.554350E-05 9.420128E-14
2.580020E-05 9.800625E-14
2.605950E-05 1.019652E-13
2.632140E-05 1.060840E-13
2.658590E-05 1.103687E-13
2.685310E-05 1.148271E-13
2.712300E-05 1.194659E-13
2.739560E-05 1.242918E-13
2.767090E-05 1.293119E-13
2.794900E-05 1.345355E-13
2.822990E-05 1.399701E-13
2.851360E-05 1.456239E-13
2.880020E-05 1.515070E-13
2.908970E-05 1.576282E-13
2.938200E-05 1.639942E-13
2.967730E-05 1.706188E-13
2.997560E-05 1.775118E-13
3.027680E-05 1.846809E-13
3.058110E-05 1.921413E-13
3.088850E-05 1.999042E-13
3.119890E-05 2.079783E-13
3.151250E-05 2.163807E-13
3.182920E-05 2.251211E-13
3.214900E-05 2.342122E-13
3.247210E-05 2.436730E-13
3.279850E-05 2.535150E-13
3.312810E-05 2.637546E-13
3.346110E-05 2.744107E-13
3.379740E-05 2.854958E-13
3.413700E-05 2.970258E-13
3.448010E-05 3.090247E-13
3.482660E-05 3.215065E-13
3.517670E-05 3.344968E-13
3.553020E-05 3.480075E-13
3.588730E-05 3.620657E-13
3.624790E-05 3.766881E-13
3.661220E-05 3.919044E-13
3.698020E-05 4.077370E-13
3.735190E-05 4.242092E-13
3.772730E-05 4.413453E-13
3.810640E-05 4.591701E-13
3.848940E-05 4.777143E-13
3.887620E-05 4.970100E-13
3.926690E-05 5.170859E-13
3.966160E-05 5.379766E-13
4.006020E-05 5.597076E-13
4.046280E-05 5.823161E-13
4.086940E-05 6.058351E-13
4.128020E-05 6.303108E-13
4.169510E-05 6.557736E-13
4.211410E-05 6.822606E-13
4.253740E-05 7.098232E-13
4.296490E-05 7.384957E-13
4.339670E-05 7.683265E-13
4.383280E-05 7.993512E-13
4.427330E-05 8.316386E-13
4.471830E-05 8.652357E-13
4.516770E-05 9.001844E-13
4.562170E-05 9.365516E-13
4.608020E-05 9.743827E-13
4.654330E-05 1.013741E-12
4.701110E-05 1.054694E-12
4.748350E-05 1.097291E-12
4.796070E-05 1.141614E-12
4.844280E-05 1.187725E-12
4.892960E-05 1.235697E-12
4.942140E-05 1.285617E-12
4.991810E-05 1.337550E-12
5.041970E-05 1.391570E-12
5.092650E-05 1.447790E-12
5.143830E-05 1.506271E-12
5.195530E-05 1.567120E-12
5.247740E-05 1.630399E-12
5.300480E-05 1.696258E-12
5.353750E-05 1.764776E-12
5.407560E-05 1.836069E-12
5.461910E-05 1.910240E-12
5.516800E-05 1.987399E-12
5.572240E-05 2.067672E-12
5.628250E-05 2.151184E-12
5.684810E-05 2.238073E-12
5.741940E-05 2.328473E-12
5.799650E-05 2.422535E-12
5.857940E-05 2.520397E-12
5.916810E-05 2.622201E-12
5.976280E-05 2.728104E-12
6.036340E-05 2.838300E-12
